x,y,z,h,s,r,g,b
2817.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
2837.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
2857.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
2877.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
2897.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
2917.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
2937.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
2957.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
2977.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
2997.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
3017.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
3037.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
3057.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
3077.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
3097.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
3117.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
3137.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
3157.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
3177.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
3197.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
3217.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
3237.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
3257.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
3277.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
3297.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
3317.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
3337.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
3357.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
3377.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
3397.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
3417.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
3437.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
3457.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
3477.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
3497.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
3517.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
3537.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
3557.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
3577.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
3597.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
3617.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
3637.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
3657.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
3677.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
3697.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
3717.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
3737.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
3757.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
3777.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
3797.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
3817.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
3837.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
3857.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
3877.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
3897.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
3917.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
3937.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
3957.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
3977.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
3997.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
4017.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
4037.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
4057.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
4077.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
4097.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
4117.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
4137.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
4157.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
4177.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
4197.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
4217.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
4237.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
4257.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
4277.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
4297.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
4317.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
4337.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
4357.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
4377.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
4397.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
4417.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
4437.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
4457.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
4477.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
4497.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
4517.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
4537.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
4557.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
4577.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
4597.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
4617.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
4637.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
4657.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
4677.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
4697.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
4717.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
4737.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
4757.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
4777.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
4797.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
4817.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
4837.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
4857.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
4877.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
