,relMass,growthIndex,FP,maxpftCrossMax,maxpprCrossMax,deltaH,growthGrad,xRunout,elevRel,maxpfvCrossMax,yRunout,entMass,finalMass,sRunout,TN,relativMassDiff,FN,TP
count,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
mean,10559156.536166,1.0,0.0,8.570496734804154,342.1809041214139,1435.9450639521617,0.0,255862.53160966063,2325.784372418002,41.3629213010473,379064.4622308649,0.0,10559156.536166,2757.7740726441734,102.9591511014867,0.0,0.0,1.0
std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
min,10559156.536166,1.0,0.0,8.570496734804154,342.1809041214139,1435.9450639521617,0.0,255862.53160966063,2325.784372418002,41.3629213010473,379064.4622308649,0.0,10559156.536166,2757.7740726441734,102.9591511014867,0.0,0.0,1.0
25%,10559156.536166,1.0,0.0,8.570496734804154,342.1809041214139,1435.9450639521617,0.0,255862.53160966063,2325.784372418002,41.3629213010473,379064.4622308649,0.0,10559156.536166,2757.7740726441734,102.9591511014867,0.0,0.0,1.0
50%,10559156.536166,1.0,0.0,8.570496734804154,342.1809041214139,1435.9450639521617,0.0,255862.53160966063,2325.784372418002,41.3629213010473,379064.4622308649,0.0,10559156.536166,2757.7740726441734,102.9591511014867,0.0,0.0,1.0
75%,10559156.536166,1.0,0.0,8.570496734804154,342.1809041214139,1435.9450639521617,0.0,255862.53160966063,2325.784372418002,41.3629213010473,379064.4622308649,0.0,10559156.536166,2757.7740726441734,102.9591511014867,0.0,0.0,1.0
max,10559156.536166,1.0,0.0,8.570496734804154,342.1809041214139,1435.9450639521617,0.0,255862.53160966063,2325.784372418002,41.3629213010473,379064.4622308649,0.0,10559156.536166,2757.7740726441734,102.9591511014867,0.0,0.0,1.0
