timeStep,maxpft,maxpfv,maxppr
0.0,0.0,0.0,0.0
0.1,1.0791291335716031,7.571651669680562e-06,1.1465981801395289e-08
0.2,1.0791291548254822,6.316873462194657e-05,7.980578067475822e-07
0.30000000000000004,1.079129351217832,0.0005496625983504581,6.04257944050754e-05
0.4,1.0791311656771796,0.005926035295596334,0.007023578864930707
0.5,1.0791469955263586,0.05753178921010282,0.6619813539431405
0.6,1.0792419427198916,0.2758425460176241,15.217822038697014
0.7,1.0795307681039188,0.6990763662718864,97.74155317598093
0.7999999999999999,1.0800705372835762,1.045029300627899,218.41724783416714
0.8999999999999999,1.0809146357090902,1.3321435698260256,354.9212981257654
0.9999999999999999,1.0821808971957845,1.7894229330853346,640.4068866903444
1.0999999999999999,1.0839431460994815,2.2574884622332614,1019.250831423259
1.2,1.0858753459095556,2.7307061431778146,1491.351208077811
1.3,1.0880386835613987,3.2069988714456326,2056.968352290712
1.4000000000000001,1.0905066714601352,3.689277709010703,2722.1540028406525
1.5000000000000002,1.0934146785898582,4.171737583541528,3480.6788931865817
1.6000000000000003,1.0966339535004077,4.6525422261532405,4329.229833227791
1.7000000000000004,1.0999584404427227,5.1320452663565606,5267.577723186556
1.8000000000000005,1.1032598828842664,5.609185227502379,6292.591783286183
1.9000000000000006,1.1065918470941563,6.085353708914631,7406.30595252021
2.0000000000000004,1.1094500609089297,6.561299865916884,8610.131186096183
2.1000000000000005,1.115758119670216,7.035920592461461,9900.835716684649
2.2000000000000006,1.1231677846852366,7.509854818872508,11279.583880108527
2.3000000000000007,1.13036869482118,7.982997379725754,12745.649432941651
2.400000000000001,1.1375094181397898,8.456649605610057,14302.984510412947
2.500000000000001,1.1446029263186515,8.929921867234201,15948.700910981512
2.600000000000001,1.1532998146327313,9.404331665347692,17688.29081437226
2.700000000000001,1.1633263244906062,9.880539454227044,19525.01198130745
2.800000000000001,1.1715908123035452,10.354028910597526,21441.18293629788
2.9000000000000012,1.1794608005020162,10.826232381119855,23441.461514001618
3.0000000000000013,1.1882538456863079,11.297740500111818,25527.788081573366
3.1000000000000014,1.1988776367617893,11.770377911628817,27708.359236511908
3.2000000000000015,1.2089310315101163,12.246977441731406,29997.69129165559
3.3000000000000016,1.219525673981411,12.726994523531149,32395.277920398366
3.4000000000000017,1.228207375053007,13.206800289303063,34883.91477630709
3.5000000000000018,1.234594603507208,13.687897755625121,37471.70899368945
3.600000000000002,1.2409496927972377,14.16935518097381,40154.125248917866
3.700000000000002,1.2429347528515744,14.644415365453995,42891.78027918901
3.800000000000002,1.246625238050802,15.115048333495956,45692.937224783775
3.900000000000002,1.247888307732164,15.583201060406918,48567.23105781346
4.000000000000002,1.247888307732164,16.048861160605473,51513.188910478166
4.100000000000001,1.247888307732164,16.51179082226138,54527.84723162302
4.200000000000001,1.2726226513077077,16.971796839403197,57608.377591595265
4.300000000000001,1.2972822718978976,17.432580662973855,60778.973714217995
4.4,1.3201832641493778,17.895740334755736,64051.50442580067
4.5,1.341182320655289,18.35512616822533,67382.13133029405
4.6,1.3594920561235657,18.808605113546598,70752.72526346624
4.699999999999999,1.3757655183550084,19.258142131078223,74175.20766816202
4.799999999999999,1.3871479131330768,19.704208575068755,77651.16711396261
4.899999999999999,1.3975432984139482,20.15338630100738,81231.79587952638
4.999999999999998,1.4059914184575608,20.60954032173232,84950.63045462208
5.099999999999998,1.411434483584582,21.0711278933209,88798.48613933721
5.1999999999999975,1.4141244823987003,21.529348999449432,92702.57366801884
5.299999999999997,1.4308509650334715,21.985094006891625,96668.87169837242
5.399999999999997,1.4447130338224632,22.43980925263019,100709.0078588855
5.4999999999999964,1.4591969106150686,22.890446287636212,104794.5062494317
5.599999999999996,1.4720313951334318,23.339522382592516,108946.66100950741
5.699999999999996,1.484418689511185,23.78765211764382,113170.4786540089
5.799999999999995,1.5116426161808765,24.2321445714654,117439.36610648003
5.899999999999995,1.552240829650299,24.67560284035718,121777.07510700866
5.999999999999995,1.5880373135786214,25.11577133933609,126160.39399396323
6.099999999999994,1.6208167746810147,25.558661292194376,130649.03340982301
6.199999999999994,1.6508543640860462,26.00652310217048,135267.84877274538
6.299999999999994,1.6782556567558824,26.450750967083504,139928.4453445338
6.399999999999993,1.7017106902328898,26.897981206307037,144700.2785949693
6.499999999999993,1.7222004634449413,27.342701303366674,149524.66291302594
6.5999999999999925,1.738203087002223,27.78240440296406,154372.39888196738
6.699999999999992,1.7470434970401025,28.219079642475652,159263.29117367676
6.799999999999992,1.7529454199390235,28.657894353942847,164254.98176034985
6.8999999999999915,1.7868559101385035,29.10051912962119,169368.04272268977
6.999999999999991,1.82698196130733,29.544267475921444,174572.7481377579
7.099999999999991,1.8603527565835276,29.988620263547478,179863.46906225008
7.19999999999999,1.8892799920227796,30.432078204058982,185222.27676359235
7.29999999999999,1.9123616757500712,30.884589292265094,190771.57115037914
7.39999999999999,1.9299140038623541,31.340212620398876,196441.7854183618
7.499999999999989,1.942912335808534,31.786112699665082,202071.39211116196
7.599999999999989,1.9502716584687707,32.2359122507715,207830.807727888
7.699999999999989,1.9532849015676395,32.68148005085722,213615.82766291566
7.799999999999988,1.9547555083483121,33.12322522169049,219429.6098173666
7.899999999999988,1.956392941085696,33.56242649888818,225287.2944986543
7.999999999999988,1.9593570441560915,34.000241303305245,231203.2817365968
8.099999999999987,1.9785708734823737,34.4401327637446,237224.54895687086
8.199999999999987,2.016227543850336,34.8789156144331,243307.750887749
8.299999999999986,2.0513936292632553,35.316828917773094,249455.6809614508
