time, current, entrained
0.10,    10113566.210787,    0.000000
0.20,    10113566.210787,    0.000000
0.30,    10113566.210787,    0.000000
0.40,    10113566.210787,    0.000000
0.50,    10113566.210787,    0.000000
0.60,    10113566.210787,    0.000000
0.70,    10113566.210787,    0.000000
0.80,    10113566.210787,    0.000000
0.90,    10113566.210787,    0.000000
1.00,    10113566.210787,    0.000000
1.10,    10113566.210787,    0.000000
1.20,    10113566.210787,    0.000000
1.30,    10113566.210787,    0.000000
1.40,    10113566.210787,    0.000000
1.50,    10113566.210787,    0.000000
1.60,    10113566.210787,    0.000000
1.70,    10113566.210787,    0.000000
1.80,    10113566.210787,    0.000000
1.90,    10113566.210787,    0.000000
2.00,    10113566.210787,    0.000000
2.10,    10113566.210787,    0.000000
2.20,    10113566.210787,    0.000000
2.30,    10113566.210787,    0.000000
2.40,    10113566.210787,    0.000000
2.50,    10113566.210787,    0.000000
2.60,    10113566.210787,    0.000000
2.70,    10113566.210787,    0.000000
2.80,    10113566.210787,    0.000000
2.90,    10113566.210787,    0.000000
3.00,    10113566.210787,    0.000000
3.10,    10113566.210787,    0.000000
3.20,    10113566.210787,    0.000000
3.30,    10113566.210787,    0.000000
3.40,    10113566.210787,    0.000000
3.50,    10113566.210787,    0.000000
3.60,    10113566.210787,    0.000000
3.70,    10113566.210787,    0.000000
3.80,    10113566.210787,    0.000000
3.90,    10113566.210787,    0.000000
4.00,    10113566.210787,    0.000000
4.10,    10113566.210787,    0.000000
4.20,    10113566.210787,    0.000000
4.30,    10113566.210787,    0.000000
4.40,    10113566.210787,    0.000000
4.50,    10113566.210787,    0.000000
4.60,    10113566.210787,    0.000000
4.70,    10113566.210787,    0.000000
4.80,    10113566.210787,    0.000000
4.90,    10113566.210787,    0.000000
5.00,    10113566.210787,    0.000000
5.10,    10113566.210787,    0.000000
5.20,    10113566.210787,    0.000000
5.30,    10113566.210787,    0.000000
5.40,    10113566.210787,    0.000000
5.50,    10113566.210787,    0.000000
5.60,    10113566.210787,    0.000000
5.70,    10113566.210787,    0.000000
5.80,    10113566.210787,    0.000000
5.90,    10113566.210787,    0.000000
6.00,    10113566.210787,    0.000000
6.10,    10113566.210787,    0.000000
6.20,    10113566.210787,    0.000000
6.30,    10113566.210787,    0.000000
6.40,    10113566.210787,    0.000000
6.50,    10113566.210787,    0.000000
6.60,    10113566.210787,    0.000000
6.70,    10113566.210787,    0.000000
6.80,    10113566.210787,    0.000000
6.90,    10113566.210787,    0.000000
7.00,    10113566.210787,    0.000000
7.10,    10113566.210787,    0.000000
7.20,    10113566.210787,    0.000000
7.30,    10113566.210787,    0.000000
7.40,    10113566.210787,    0.000000
7.50,    10113566.210787,    0.000000
7.60,    10113566.210787,    0.000000
7.70,    10113566.210787,    0.000000
7.80,    10113566.210787,    0.000000
7.90,    10113566.210787,    0.000000
8.00,    10113566.210787,    0.000000
8.10,    10113566.210787,    0.000000
8.20,    10113566.210787,    0.000000
8.30,    10113566.210787,    0.000000
8.40,    10113566.210787,    0.000000
8.50,    10113566.210787,    0.000000
8.60,    10113566.210787,    0.000000
8.70,    10113566.210787,    0.000000
8.80,    10113566.210787,    0.000000
8.90,    10113566.210787,    0.000000
9.00,    10113566.210787,    0.000000
9.10,    10113566.210787,    0.000000
9.20,    10113566.210787,    0.000000
9.30,    10113566.210787,    0.000000
9.40,    10113566.210787,    0.000000
9.50,    10113566.210787,    0.000000
9.60,    10113566.210787,    0.000000
9.70,    10113566.210787,    0.000000
9.80,    10113566.210787,    0.000000
9.90,    10113566.210787,    0.000000
10.00,    10113566.210787,    0.000000
10.10,    10113566.210787,    0.000000
10.20,    10113566.210787,    0.000000
10.30,    10113566.210787,    0.000000
10.40,    10113566.210787,    0.000000
10.50,    10113566.210787,    0.000000
10.60,    10113566.210787,    0.000000
10.70,    10113566.210787,    0.000000
10.80,    10113566.210787,    0.000000
10.90,    10113566.210787,    0.000000
11.00,    10113566.210787,    0.000000
11.10,    10113566.210787,    0.000000
11.20,    10113566.210787,    0.000000
11.30,    10113566.210787,    0.000000
11.40,    10113566.210787,    0.000000
11.50,    10113566.210787,    0.000000
11.60,    10113566.210787,    0.000000
11.70,    10113566.210787,    0.000000
11.80,    10113566.210787,    0.000000
11.90,    10113566.210787,    0.000000
12.00,    10113566.210787,    0.000000
12.10,    10113566.210787,    0.000000
12.20,    10113566.210787,    0.000000
12.30,    10113566.210787,    0.000000
12.40,    10113566.210787,    0.000000
12.50,    10113566.210787,    0.000000
12.60,    10113566.210787,    0.000000
12.70,    10113566.210787,    0.000000
12.80,    10113566.210787,    0.000000
12.90,    10113566.210787,    0.000000
13.00,    10113566.210787,    0.000000
13.10,    10113566.210787,    0.000000
13.20,    10113566.210787,    0.000000
13.30,    10113566.210787,    0.000000
13.40,    10113566.210787,    0.000000
13.50,    10113566.210787,    0.000000
13.60,    10113566.210787,    0.000000
13.70,    10113566.210787,    0.000000
13.80,    10113566.210787,    0.000000
13.90,    10113566.210787,    0.000000
14.00,    10113566.210787,    0.000000
14.10,    10113566.210787,    0.000000
14.20,    10113566.210787,    0.000000
14.30,    10113566.210787,    0.000000
14.40,    10113566.210787,    0.000000
14.50,    10113566.210787,    0.000000
14.60,    10113566.210787,    0.000000
14.70,    10113566.210787,    0.000000
14.80,    10113566.210787,    0.000000
14.90,    10113566.210787,    0.000000
15.00,    10113566.210787,    0.000000
15.10,    10113566.210787,    0.000000
15.20,    10113566.210787,    0.000000
15.30,    10113566.210787,    0.000000
15.40,    10113566.210787,    0.000000
15.50,    10113566.210787,    0.000000
15.60,    10113566.210787,    0.000000
15.70,    10113566.210787,    0.000000
15.80,    10113566.210787,    0.000000
15.90,    10113566.210787,    0.000000
16.00,    10113566.210787,    0.000000
16.10,    10113566.210787,    0.000000
16.20,    10113566.210787,    0.000000
16.30,    10113566.210787,    0.000000
16.40,    10113566.210787,    0.000000
16.50,    10113566.210787,    0.000000
16.60,    10113566.210787,    0.000000
16.70,    10113566.210787,    0.000000
16.80,    10113566.210787,    0.000000
16.90,    10113566.210787,    0.000000
17.00,    10113566.210787,    0.000000
17.10,    10113566.210787,    0.000000
17.20,    10113566.210787,    0.000000
17.30,    10113566.210787,    0.000000
17.40,    10113566.210787,    0.000000
17.50,    10113566.210787,    0.000000
17.60,    10113566.210787,    0.000000
17.70,    10113566.210787,    0.000000
17.80,    10113566.210787,    0.000000
17.90,    10113566.210787,    0.000000
18.00,    10113566.210787,    0.000000
18.10,    10113566.210787,    0.000000
18.20,    10113566.210787,    0.000000
18.30,    10113566.210787,    0.000000
18.40,    10113566.210787,    0.000000
18.50,    10113566.210787,    0.000000
18.60,    10113566.210787,    0.000000
18.70,    10113566.210787,    0.000000
18.80,    10113566.210787,    0.000000
18.90,    10113566.210787,    0.000000
19.00,    10113566.210787,    0.000000
19.10,    10113566.210787,    0.000000
19.20,    10113566.210787,    0.000000
19.30,    10113566.210787,    0.000000
19.40,    10113566.210787,    0.000000
19.50,    10113566.210787,    0.000000
19.60,    10113566.210787,    0.000000
19.70,    10113566.210787,    0.000000
19.80,    10113566.210787,    0.000000
19.90,    10113566.210787,    0.000000
20.00,    10113566.210787,    0.000000
20.10,    10113566.210787,    0.000000
20.20,    10113566.210787,    0.000000
20.30,    10113566.210787,    0.000000
20.40,    10113566.210787,    0.000000
20.50,    10113566.210787,    0.000000
20.60,    10113566.210787,    0.000000
20.70,    10113566.210787,    0.000000
20.80,    10113566.210787,    0.000000
20.90,    10113566.210787,    0.000000
21.00,    10113566.210787,    0.000000
21.10,    10113566.210787,    0.000000
21.20,    10113566.210787,    0.000000
21.30,    10113566.210787,    0.000000
21.40,    10113566.210787,    0.000000
21.50,    10113566.210787,    0.000000
21.60,    10113566.210787,    0.000000
21.70,    10113566.210787,    0.000000
21.80,    10113566.210787,    0.000000
21.90,    10113566.210787,    0.000000
22.00,    10113566.210787,    0.000000
22.10,    10113566.210787,    0.000000
22.20,    10113566.210787,    0.000000
22.30,    10113566.210787,    0.000000
22.40,    10113566.210787,    0.000000
22.50,    10113566.210787,    0.000000
22.60,    10113566.210787,    0.000000
22.70,    10113566.210787,    0.000000
22.80,    10113566.210787,    0.000000
22.90,    10113566.210787,    0.000000
23.00,    10113566.210787,    0.000000
23.10,    10113566.210787,    0.000000
23.20,    10113566.210787,    0.000000
23.30,    10113566.210787,    0.000000
23.40,    10113566.210787,    0.000000
23.50,    10113566.210787,    0.000000
23.60,    10113566.210787,    0.000000
23.70,    10113566.210787,    0.000000
23.80,    10113566.210787,    0.000000
23.90,    10113566.210787,    0.000000
24.00,    10113566.210787,    0.000000
24.10,    10113566.210787,    0.000000
24.20,    10113566.210787,    0.000000
24.30,    10113566.210787,    0.000000
24.40,    10113566.210787,    0.000000
24.50,    10113566.210787,    0.000000
24.60,    10113566.210787,    0.000000
24.70,    10113566.210787,    0.000000
24.80,    10113566.210787,    0.000000
24.90,    10113566.210787,    0.000000
25.00,    10113566.210787,    0.000000
25.10,    10113566.210787,    0.000000
25.20,    10113566.210787,    0.000000
25.30,    10113566.210787,    0.000000
25.40,    10113566.210787,    0.000000
25.50,    10113566.210787,    0.000000
25.60,    10113566.210787,    0.000000
25.70,    10113566.210787,    0.000000
25.80,    10113566.210787,    0.000000
25.90,    10113566.210787,    0.000000
26.00,    10113566.210787,    0.000000
26.10,    10113566.210787,    0.000000
26.20,    10113566.210787,    0.000000
26.30,    10113566.210787,    0.000000
26.40,    10113566.210787,    0.000000
26.50,    10113566.210787,    0.000000
26.60,    10113566.210787,    0.000000
26.70,    10113566.210787,    0.000000
26.80,    10113566.210787,    0.000000
26.90,    10113566.210787,    0.000000
27.00,    10113566.210787,    0.000000
27.10,    10113566.210787,    0.000000
27.20,    10113566.210787,    0.000000
27.30,    10113566.210787,    0.000000
27.40,    10113566.210787,    0.000000
27.50,    10113566.210787,    0.000000
27.60,    10113566.210787,    0.000000
27.70,    10113566.210787,    0.000000
27.80,    10113566.210787,    0.000000
27.90,    10113566.210787,    0.000000
28.00,    10113566.210787,    0.000000
28.10,    10113566.210787,    0.000000
28.20,    10113566.210787,    0.000000
28.30,    10113566.210787,    0.000000
28.40,    10113566.210787,    0.000000
28.50,    10113566.210787,    0.000000
28.60,    10113566.210787,    0.000000
28.70,    10113566.210787,    0.000000
28.80,    10113566.210787,    0.000000
28.90,    10113566.210787,    0.000000
29.00,    10113566.210787,    0.000000
29.10,    10113566.210787,    0.000000
29.20,    10113566.210787,    0.000000
29.30,    10113566.210787,    0.000000
29.40,    10113566.210787,    0.000000
29.50,    10113566.210787,    0.000000
29.60,    10113566.210787,    0.000000
29.70,    10113566.210787,    0.000000
29.80,    10113566.210787,    0.000000
29.90,    10113566.210787,    0.000000
30.00,    10113566.210787,    0.000000
30.10,    10113566.210787,    0.000000
30.20,    10113566.210787,    0.000000
30.30,    10113566.210787,    0.000000
30.40,    10113566.210787,    0.000000
30.50,    10113566.210787,    0.000000
30.60,    10113566.210787,    0.000000
30.70,    10113566.210787,    0.000000
30.80,    10113566.210787,    0.000000
30.90,    10113566.210787,    0.000000
31.00,    10113566.210787,    0.000000
31.10,    10113566.210787,    0.000000
31.20,    10113566.210787,    0.000000
31.30,    10113566.210787,    0.000000
31.40,    10113566.210787,    0.000000
31.50,    10113566.210787,    0.000000
31.60,    10113566.210787,    0.000000
31.70,    10113566.210787,    0.000000
31.80,    10113566.210787,    0.000000
31.90,    10113566.210787,    0.000000
32.00,    10113566.210787,    0.000000
32.10,    10113566.210787,    0.000000
32.20,    10113566.210787,    0.000000
32.30,    10113566.210787,    0.000000
32.40,    10113566.210787,    0.000000
32.50,    10113566.210787,    0.000000
32.60,    10113566.210787,    0.000000
32.70,    10113566.210787,    0.000000
32.80,    10113566.210787,    0.000000
32.90,    10113566.210787,    0.000000
33.00,    10113566.210787,    0.000000
33.10,    10113566.210787,    0.000000
33.20,    10113566.210787,    0.000000
33.30,    10113566.210787,    0.000000
33.40,    10113566.210787,    0.000000
33.50,    10113566.210787,    0.000000
33.60,    10113566.210787,    0.000000
33.70,    10113566.210787,    0.000000
33.80,    10113566.210787,    0.000000
33.90,    10113566.210787,    0.000000
34.00,    10113566.210787,    0.000000
34.10,    10113566.210787,    0.000000
34.20,    10113566.210787,    0.000000
34.30,    10113566.210787,    0.000000
34.40,    10113566.210787,    0.000000
34.50,    10113566.210787,    0.000000
34.60,    10113566.210787,    0.000000
34.70,    10113566.210787,    0.000000
34.80,    10113566.210787,    0.000000
34.90,    10113566.210787,    0.000000
35.00,    10113566.210787,    0.000000
35.10,    10113566.210787,    0.000000
35.20,    10113566.210787,    0.000000
35.30,    10113566.210787,    0.000000
35.40,    10113566.210787,    0.000000
35.50,    10113566.210787,    0.000000
35.60,    10113566.210787,    0.000000
35.70,    10113566.210787,    0.000000
35.80,    10113566.210787,    0.000000
35.90,    10113566.210787,    0.000000
36.00,    10113566.210787,    0.000000
36.10,    10113566.210787,    0.000000
36.20,    10113566.210787,    0.000000
36.30,    10113566.210787,    0.000000
36.40,    10113566.210787,    0.000000
36.50,    10113566.210787,    0.000000
36.60,    10113566.210787,    0.000000
36.70,    10113566.210787,    0.000000
36.80,    10113566.210787,    0.000000
36.90,    10113566.210787,    0.000000
37.00,    10113566.210787,    0.000000
37.10,    10113566.210787,    0.000000
37.20,    10113566.210787,    0.000000
37.30,    10113566.210787,    0.000000
37.40,    10113566.210787,    0.000000
37.50,    10113566.210787,    0.000000
37.60,    10113566.210787,    0.000000
37.70,    10113566.210787,    0.000000
37.80,    10113566.210787,    0.000000
37.90,    10113566.210787,    0.000000
38.00,    10113566.210787,    0.000000
38.10,    10113566.210787,    0.000000
38.20,    10113566.210787,    0.000000
38.30,    10113566.210787,    0.000000
38.40,    10113566.210787,    0.000000
38.50,    10113566.210787,    0.000000
38.60,    10113566.210787,    0.000000
38.70,    10113566.210787,    0.000000
38.80,    10113566.210787,    0.000000
38.90,    10113566.210787,    0.000000
39.00,    10113566.210787,    0.000000
39.10,    10113566.210787,    0.000000
39.20,    10113566.210787,    0.000000
39.30,    10113566.210787,    0.000000
39.40,    10113566.210787,    0.000000
39.50,    10113566.210787,    0.000000
39.60,    10113566.210787,    0.000000
39.70,    10113566.210787,    0.000000
39.80,    10113566.210787,    0.000000
39.90,    10113566.210787,    0.000000
40.00,    10113566.210787,    0.000000
40.10,    10113566.210787,    0.000000
40.20,    10113566.210787,    0.000000
40.30,    10113566.210787,    0.000000
40.40,    10113566.210787,    0.000000
40.50,    10113566.210787,    0.000000
40.60,    10113566.210787,    0.000000
40.70,    10113566.210787,    0.000000
40.80,    10113566.210787,    0.000000
40.90,    10113566.210787,    0.000000
41.00,    10113566.210787,    0.000000
41.10,    10113566.210787,    0.000000
41.20,    10113566.210787,    0.000000
41.30,    10113566.210787,    0.000000
41.40,    10113566.210787,    0.000000
41.50,    10113566.210787,    0.000000
41.60,    10113566.210787,    0.000000
41.70,    10113566.210787,    0.000000
41.80,    10113566.210787,    0.000000
41.90,    10113566.210787,    0.000000
42.00,    10113566.210787,    0.000000
42.10,    10113566.210787,    0.000000
42.20,    10113566.210787,    0.000000
42.30,    10113566.210787,    0.000000
42.40,    10113566.210787,    0.000000
42.50,    10113566.210787,    0.000000
42.60,    10113566.210787,    0.000000
42.70,    10113566.210787,    0.000000
42.80,    10113566.210787,    0.000000
