timeStep,maxpft,maxppr,maxpfv
0.0,0.0,0.0,0.0
0.1,1.6373738764854844,4.209073161305749e-09,4.58752283989178e-06
0.2,1.6373738764854844,1.1564683246076366e-07,2.4046500001119047e-05
0.30000000000000004,1.6373738764854844,3.391601826655162e-06,0.00013022292092130253
0.4,1.6373738764854844,0.0001306574857156608,0.0008082619801637982
0.5,1.6373738764854844,0.0074361179076385285,0.006097588829873054
0.6,1.6373738764854844,0.3155513143406777,0.03972098402234502
0.7,1.6373738764854844,4.03878879651959,0.14210539744358042
0.7999999999999999,1.6373738764854844,27.58153752874069,0.37135924337991566
0.8999999999999999,1.6373738764854844,123.99297538940628,0.7873784839243649
0.9999999999999999,1.6373738764854844,271.33695196004066,1.1647681141756085
1.0999999999999999,1.6373738764854844,524.2854755932374,1.6190822641132807
1.2,1.6373738764854844,942.279545505434,2.170575436958405
1.3,1.6373738764854844,1455.3130736323883,2.6975109579317635
1.4000000000000001,1.6373738764854844,2065.320124935551,3.213502858980797
1.5000000000000002,1.6373738764854844,2774.043131111104,3.7242738427182713
1.6000000000000003,1.6373738764854844,3580.1555292906037,4.230931061415799
1.7000000000000004,1.6494646835873057,4481.8471651654045,4.733839438112263
1.8000000000000005,1.6666413126747455,5473.067421995985,5.231188881122524
1.9000000000000006,1.6928450616531128,6542.47132531413,5.719471708695712
2.0000000000000004,1.7087744482318608,7703.81836475385,6.206375095316851
2.1000000000000005,1.7194399248572119,9800.851555670353,7.000304120418752
2.2000000000000006,1.7615592561463516,10337.620387026713,7.1894437848232435
2.3000000000000007,1.7816962629895226,11480.289416000434,7.5763742700583485
2.400000000000001,1.7816962629895226,13072.734919318076,8.084780429708056
2.500000000000001,1.7816962629895226,14749.992056391779,8.587779706184765
2.600000000000001,1.7816962629895226,15887.216921101102,8.91269233203444
2.700000000000001,1.7967437856325092,17505.12613049794,9.35551338262576
2.800000000000001,1.8286382097273521,19266.874505282784,9.815007515351882
2.9000000000000012,1.8586502291070919,21289.925522690213,10.317442881521131
3.0000000000000013,1.8901953801500293,23365.52802637046,10.808683552211725
3.1000000000000014,1.903946936232423,25408.474345071365,11.271307454122473
3.2000000000000015,1.903946936232423,27386.616185764025,11.701840920505633
3.3000000000000016,1.903946936232423,29362.699750819786,12.116662030200352
3.4000000000000017,1.9194143189757562,31365.26368831104,12.523031519626356
3.5000000000000018,2.0086602837454683,33595.9010100175,12.960690762844683
3.600000000000002,2.0487313997638927,35706.20957454298,13.361551102799215
3.700000000000002,2.1262729759435888,37718.55755979609,13.732908934343826
3.800000000000002,2.175975763826114,39865.174952942325,14.118281579735957
3.900000000000002,2.2403050689585506,42020.82831770217,14.494969526994904
4.000000000000002,2.3105187297816103,44058.28279160914,14.84221728577121
4.100000000000001,2.3812568582433347,45897.82424375111,15.148898350004053
4.200000000000001,2.440421378693977,47524.43003802095,15.41499757347061
4.300000000000001,2.508408518190976,49228.4544460972,15.68892195883726
4.4,2.5272540945676476,51125.640583714354,15.988377119600719
4.5,2.600662204036394,52812.224679587685,16.249957642958286
4.6,2.6852728602436056,54515.622296794834,16.509939778326697
4.699999999999999,2.754144535936078,56914.76146697188,16.869315556206168
4.799999999999999,2.8145839983159173,59256.56388111687,17.212867843726226
4.899999999999999,2.880369804435186,61854.27373326362,17.586112949322203
4.999999999999998,2.9581424109354444,64293.14366725518,17.929465087845646
5.099999999999998,3.0215278538337973,66726.75437476196,18.26564457865667
5.1999999999999975,3.1141843530890534,69407.67873443187,18.628966521848692
5.299999999999997,3.1714585941572753,71865.1213668433,18.955885809801043
5.399999999999997,3.2418837078044307,74168.97665621637,19.257333233889938
5.4999999999999964,3.316089226950958,76453.34440477703,19.55164243801234
5.599999999999996,3.412687220128474,79012.7358778337,19.87620887868631
5.699999999999996,3.4909752690845686,81636.7168249114,20.203553749886602
5.799999999999995,3.5497281454200214,84023.75277023089,20.49679886838807
5.899999999999995,3.6442705804171007,86303.19149276234,20.772962173551747
5.999999999999995,3.707274348054251,88540.7436085177,21.040525612317495
6.099999999999994,3.7813828626755575,90600.9606401317,21.283909490520262
6.199999999999994,3.822609088669688,93034.05012521887,21.567805883448003
6.299999999999994,3.895596563799783,95259.80400930278,21.82427593407199
6.399999999999993,3.9182782004556986,97351.65447901074,22.06259894924108
6.499999999999993,4.010268079158364,99259.68754363566,22.277756568339154
6.5999999999999925,4.096484475535848,101065.32409665761,22.479471089936435
6.699999999999992,4.15803540602164,102699.58770215709,22.660492900878953
6.799999999999992,4.230879077816545,104521.81091016576,22.860644228692
6.8999999999999915,4.299708841931714,106384.1261548587,23.06340457899253
6.999999999999991,4.378475408317162,108071.65832929708,23.245608007675028
7.099999999999991,4.464439307980276,109623.33585014413,23.411891834081256
7.19999999999999,4.537252264474273,112412.52301967834,23.70785977473276
7.29999999999999,4.645520000395342,115611.83836711248,24.042861556719124
7.39999999999999,4.726185360220256,118312.31567233888,24.32203894334713
7.499999999999989,4.810454863991326,120253.1466665632,24.52072048967599
7.599999999999989,4.922578266558616,127405.59909938803,25.239413533141775
7.699999999999989,5.00355235974283,133764.30534623927,25.86158399501462
7.799999999999988,5.070250223106421,136246.44055039616,26.100425336610527
7.899999999999988,5.170088869991732,137953.73026975407,26.263447057626887
7.999999999999988,5.267206299765756,140882.71481556722,26.540790758337177
8.099999999999987,5.3141320587513,142827.36317363454,26.723338411736147
8.199999999999987,5.406040852169565,144762.85721894956,26.903796871347875
8.299999999999986,5.509611630407377,146472.31452353098,27.062179746237273
8.399999999999986,5.563158435544191,147955.91760957817,27.19888946350367
