nout	nsum	cfl	tlength	tsum	dmax	vmax	volume	ekin
R	-----	-----	-----	-----	*1.000	-----	*41600.000	-----
0	0	-----	-----	0.0	1.000	0.00	41600.000	
1	15	0.389	26.7	10.2	2.485	25.70	41572.773	18243526656
2	34	0.388	31.1	20.2	3.536	22.87	41499.336	14444764160
3	52	0.400	30.3	30.2	4.136	20.98	41249.480	10999770112
4	69	0.396	33.2	40.2	3.737	21.28	40940.340	9283932160
5	85	0.400	25.4	50.2	3.526	21.00	40693.098	7871809536
6	100	0.398	36.0	60.1	3.776	16.46	40537.859	7006607360
7	115	0.399	28.9	70.2	3.213	16.19	40415.277	6057749504
8	130	0.397	38.1	80.3	3.428	17.89	40303.750	5788744704
9	144	0.399	39.4	90.6	2.987	15.00	40195.000	5357192192
10	156	0.383	45.7	100.4	2.439	13.73	40104.773	4468163584
11	167	0.396	50.6	110.7	2.028	13.42	39996.789	3775412224
12	178	0.396	53.4	120.3	1.595	12.66	39746.914	3102230528
13	189	0.400	36.5	130.3	1.635	20.99	39219.051	3646204672
14	203	0.399	40.8	140.3	1.958	16.19	38708.238	3453063424
15	214	0.382	50.2	150.2	1.388	15.49	38341.090	2505316352
16	224	0.389	56.2	160.4	0.948	14.40	38022.320	2213783296
17	235	0.389	36.7	170.5	1.255	14.64	37717.688	2253909760
18	245	0.385	58.8	180.7	0.909	13.76	37478.945	1994714112
19	253	0.390	64.2	190.2	0.805	12.66	37278.328	1513071232
20	261	0.400	53.3	200.1	0.845	11.48	37075.477	1025656128
21	270	0.320	54.2	210.8	0.743	11.26	36877.711	795361792
22	278	0.327	55.1	220.7	0.736	10.33	36715.160	674891136
23	286	0.324	56.0	230.8	0.793	9.14	36557.996	568992384
24	294	0.317	57.4	241.2	0.822	8.87	36404.102	485176736
25	301	0.320	57.4	250.5	0.846	8.63	36284.090	427655776
26	309	0.322	56.5	261.3	0.904	8.39	36151.195	376605728
27	316	0.318	55.8	270.6	0.951	8.01	36039.836	341471008
28	324	0.314	53.7	281.2	0.967	7.12	35923.691	303332064
29	331	0.300	52.9	290.4	0.960	6.77	35829.340	275523808
30	339	0.296	51.8	301.0	0.974	6.50	35727.488	247990320
