nout	nsum	z0_vflow1	z0vchange1	z0_vflow2	z0vchange2	z0_vflow3	z0vchange3
0	0	69200.000	0	0.000	0	0.000	0
1	15.9	31600.000	0.000	0.000	0.000	0.000	0.000
2	22.3	31600.000	0.000	0.000	0.000	0.000	0.000
3	35.1	31600.000	0.000	0.000	0.000	0.000	0.000
4	41.4	31600.000	0.000	0.000	0.000	0.000	0.000
5	54.2	31600.000	0.000	0.000	0.000	0.000	0.000
6	60.6	31600.000	0.000	0.000	0.000	0.000	0.000
7	73.3	31600.000	0.000	0.000	0.000	0.000	0.000
8	86.1	31600.000	0.000	0.000	0.000	0.000	0.000
9	92.4	31600.000	0.000	0.000	0.000	0.000	0.000
10	105.2	31600.000	0.000	0.000	0.000	0.000	0.000
11	111.6	31600.000	0.000	0.000	0.000	0.000	0.000
12	124.3	31600.000	0.000	0.000	0.000	0.000	0.000
13	130.7	31600.000	0.000	0.000	0.000	0.000	0.000
14	143.4	31600.000	0.000	0.000	0.000	0.000	0.000
15	156.2	31600.000	0.000	0.000	0.000	0.000	0.000
16	162.6	31600.000	0.000	0.000	0.000	0.000	0.000
17	175.3	31600.000	0.000	0.000	0.000	0.000	0.000
18	181.7	31600.000	0.000	0.000	0.000	0.000	0.000
19	194.4	31600.000	0.000	0.000	0.000	0.000	0.000
20	200.8	31600.000	0.000	0.000	0.000	0.000	0.000
21	213.6	31600.000	0.000	0.000	0.000	0.000	0.000
22	226.3	31600.000	0.000	0.000	0.000	0.000	0.000
23	232.7	31600.000	0.000	0.000	0.000	0.000	0.000
24	245.4	31600.000	0.000	0.000	0.000	0.000	0.000
25	251.8	31600.000	0.000	0.000	0.000	0.000	0.000
26	264.6	31600.000	0.000	0.000	0.000	0.000	0.000
27	270.9	31600.000	0.000	0.000	0.000	0.000	0.000
28	283.7	31600.000	0.000	0.000	0.000	0.000	0.000
29	290.1	31600.000	0.000	0.000	0.000	0.000	0.000
30	302.8	31600.000	0.000	0.000	0.000	0.000	0.000
